gid	gname	tid	strand	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NA	2200002D01Rik	NM_028179	-	0	0.0442758919612593	3.99815255304488e-61	0	4.87896721308937e-30	0	0	0	0	0	0	0.17671397293454	0	1.24896275326618e-11	1.24670437865534e-154	0	0	8.26307258814915e-81	0.0465203376372907	4.03491120705371e-101	0	0	0	0	0	0.0383173290301971	0.0441838598116455	0.0441838598209261	0.0438700750478876	0.223499525191235	0.220919299114648	0.220919513019897	0.138120013730248	2.90540206577787e-11	1.97237437481735e-19	2.43689424051318e-28	3.33243356722551e-30	4.90883424439063e-22	0	0	0.0883672530276619	0.0883677196432022	0.0883115325645544	0	0	0	3.73794745475628e-33	1.37106507071125e-41	1.54926490878683e-50	9.90197175887607e-60	0	1.92112199067537e-57	3.00579213729184e-48	2.66005935194457e-39	7.25214455280263e-31	0	0	0	0.0441838598503042	0.0441838598216429	0.0443649197789477	0.132551574663295	0.132551579464733	0.132552557147603	0	0	0	0	1.37788367670969e-43	8.45005384741765e-37	8.1211901535519e-28	3.10416679970771e-19	0	0.0444343593457295	0.0441824645916427	0.0883678097985324	0.178365130156553	0.176735284629738	0.176743477832255	0.150435642008984	0.0441838598215794	0.0881505630638872	0.0441903141926181	0.0883675858491377	0.0441839091676139	2.80158751378989e-66	4.61535263147903e-17	0.13254696577033	0.132551525782706	0.176756787846011	0	2.450057269917e-11	0.0451940045809149	0.0441838534365718	0.13253676027488	0.175597653779971	0.176771163848591	0.0441838598215781	0.0441839495686112	0	0
NA	9930111J21Rik1	NM_001114679	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42685115350224e-187	2.11959535049182e-44	2.95458220499547e-76	0	0	6.87125326818803e-125	2.11015509759686e-168	0	4.98999399016741e-293	0.0883346281635467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10562000733914e-212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1550673503247e-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	Acvrl1	NM_001277259	+	0.0441838598215794	0	0	3.09038688653503e-174	3.60806952963701e-31	9.11305474657335e-05	1.4661006053092e-09	4.70034642232324e-07	0	0.0441838598672981	0	0.0883677197345962	1.27257884996723e-50	0.0444236831736825	6.1318922181242e-22	0	0	0.0441574058480086	0	0.0441838705889537	0	4.02260417855421e-29	9.89495903553966e-108	0.0441838598215795	0	0.137102945062429	0	2.35259716209652e-25	3.90169301156633e-22	0	2.12213805641858e-40	2.38406435631883e-96	0	0.0441838615014915	0.0441838597782264	8.0931236700154e-47	6.68537955731546e-12	3.12545021491162e-27	0.0480095053493295	1.02608745933766e-27	1.33325713309542e-105	5.66265524370844e-52	0	0	5.82354720109033e-80	1.98753634926025e-22	5.36798328138911e-34	0	0	2.1176657406466e-27	0	1.12387427949004e-09	0.0441838598215791	1.6026875958299e-34	0.0437396340265729	0	0.17673543915006	0	0	0.0441838537838146	0.0883677196330089	0	0.0441838603455828	0.0441838598215928	0.0441842969880533	0.132894859417281	0.044161134973316	2.32065934776088e-82	6.81579040651855e-11	7.74329098778323e-05	0	0	0.132531646795662	0.0883681915639221	0.0441856193295398	6.89823184516237e-66	5.59635010004338e-51	0	0.0454137537400671	1.06887500170023e-33	0.0441838598215794	0.0909314043353197	0	3.10049522309242e-15	0.0441838598215776	0	0	8.81837831497393e-21	5.55497525736892e-86	2.01342564182554e-33	0	0.0890352858654729	9.13670506474438e-52	1.1109380166301e-67	7.06823445241184e-44	0	0	9.86790545739374e-311	6.10355259056571e-168	2.79017172833726e-25	0
NA	Adam12	NM_007400	-	0	0	2.16703620525978e-39	8.63686551632757e-14	0.044183858872266	0.132551579464642	0	0	4.86052850024467e-09	6.10695499311661e-30	6.03037013683137e-14	0.0441838677225432	1.0143535793768e-54	0.088367717923158	1.12796644635369e-61	3.27143946625094e-06	1.57335981336687e-113	0	0.0441838598445565	0	0	0.0441902003556933	1.31197181921444e-52	0	0.0883747274749997	0	0	1.67749151661135e-15	0	0	0.0441838598215794	0	1.4260217634657e-153	0	0	0.0486234959057102	0	0	0	0	0.0441838598215794	0	1.6857097538073e-73	3.21760256016157e-24	0	0.132551579464557	0	0	0	0	0	0.048774397761859	1.7159030168914e-18	0.0435578024776969	5.19638504288569e-14	0	0.0444942552733926	1.55124197131579e-58	0.044183859821593	0	0	0.0441838925056141	7.91879039155554e-16	0.135867294975703	1.69383646431524e-47	0	0.0443171927884533	1.68658360416522e-18	0.0883677220787466	0.0441838271375454	0.0441838598215794	2.45322661709212e-121	0.0883677196181038	2.34842275769954e-158	0.0441838598228906	0	0	0	0	7.06823445242278e-44	0	0	0.00650794394966813	3.35101477811847e-11	7.14529215977012e-05	1.658376110835e-16	6.12604451588776e-08	0	6.76733612149527e-149	6.42128159698878e-06	2.08735358605716e-49	2.25279264664495e-192	1.55043824399657e-113	6.54673802228165e-06	0.044183859814022	0.0860682137186952	3.88565906620566e-29	0.0885159805694371	0	0	0
NA	Adamts12	NM_175501	+	0	0.0441838598067073	1.28736354986196e-125	3.84119631331637e-70	0	0	1.46610070585062e-09	0	0.0441838598215747	0	2.08735358605716e-49	0.353536661392902	0.0441842383945465	0.171995610000658	5.33596347196616e-21	0.0441896747103827	0.177211179933998	6.89659902523363e-10	0.0892277753506884	0	0.0441838598215794	0.176735797270549	0.044182121702624	0	0.0441828877092226	0	6.06217447978407e-134	3.63887495661483e-32	0	0.0883692522376475	3.33115499798468e-15	0.0876602826733041	0.0441838598683325	8.21753437207123e-165	0	3.65501200074063e-127	0	0.0441788445212602	0	0	0.0441225511959256	0	0	0	0.0441838671199922	0.0883290663329069	0	0.00254006685869981	0.0442476469283089	2.01158951902921e-07	0.0442067451517489	7.17377125419413e-196	0	0	2.47602974809442e-167	0	0	0.044183859821579	0	0.04458907918762	0	1.76068645059401e-51	0.0435578024778445	0.0441788445212597	0.132558991899571	0.178657857515094	0	1.18304047337911e-45	0	2.02855189261199e-14	3.47978423901549e-309	1.07157091346684e-75	0	0.0441838598391953	1.0010867358637e-34	0	2.05893947182463e-53	0	0.0441838598215804	0.17673531778461	0	0	0	0	0	0	0	1.16592724191541e-34	0.04418348597078	0.0442052082261494	1.08764820360058e-79	4.61027276155114e-07	0	0.0441594270626686	0	0.306981351228593	1.61092188485855e-71	0.132555109390195	0	0.0883059809850699	0.265103158929476
NA	Adcyap1r1	NM_007407	+	0	8.67979944174804e-33	1.65457398062974e-05	0	0.0956519468406065	0.299763500300035	0	0	0.220920994682648	0	0	0	0.0441838598586531	4.32316229804698e-47	1.3484519362726e-49	0	0	2.43926478806482e-178	1.50874784803582e-35	0.0441838598215781	0	0	1.10524421662819e-17	1.25130305452143e-39	0	5.12017484091692e-28	2.03595121924927e-26	0.0472131198032341	0.0443028457120712	0	0.044183709373158	0	0	0.0442164178856486	4.64091297142336e-15	1.1709066499873e-25	0.0883555207514691	0	0.220919299139465	6.31295896677519e-16	2.9802141653564e-64	0	1.27582577996007e-13	0	0	0	0	3.65277915072345e-136	3.2774711877914e-38	0	0.00118959690343092	0	0	0.0883677196431583	0.0441838593714483	0.13255157946548	0	0	2.13541406945833e-65	0.0441904674319238	0.132551579439546	0	2.86202050215798e-80	2.88763945216586e-58	0	0.0441838766738107	6.77647737404066e-08	0.0441839074197675	0	0.0441838598244037	0	0.0441041864910452	0	1.24908624199909e-13	4.55229867660406e-07	0	0	4.70915391210876e-35	2.41285854486092e-169	0	0	0	0.0441838598221866	7.4517228427626e-68	4.5008143315587e-52	5.91627295652136e-195	0	0	0.0444545272839569	0	0	0	0	2.98635562890251e-214	2.48787562412708e-71	0.0435492174286648	2.04955929131429e-144	1.17030710816876e-71	1.53004923727725e-48	8.65150127400839e-192	0
NA	Adm	NM_009627	+	0	0.176686119411282	0	6.09811200370191e-23	0.132513554557207	0.132551579442122	0.0118966751806602	0.220919595921168	0.286417675298157	0.0483253402609214	0.133189091005398	0.0453498820206253	7.47701598747944e-07	0.132791402791862	0	0	5.35724032991611e-16	1.98061412844119e-10	1.44652305364945e-108	8.17921131989233e-252	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46497694915411e-159	1.32149734613448e-138	4.85165955388112e-118	1.35524832853191e-97	2.51065382904849e-77	0	0	0	0.0441838604296819	0.0473707289072436	0	0	1.33822141912564e-63	7.22370531728677e-84	2.58601749798933e-104	7.04380681022226e-125	1.31387486114051e-145	0	0	0	0	0	0	0	8.14115705858477e-60	4.36455093467719e-39	1.60237289182366e-18	0.0441833931598051	0.0441817643453913	0	0	0	0	0	0.0441838598216563	0	1.02729587339036e-32	4.77106065382785e-50	1.7495803533589e-29	4.88722636695583e-09	0.175820176527958	0.0441838598215794	0	0	0	0.0883677196620987	0.0451003867574194	0.0441838598215794	0.0426660375773964	1.06237778495144e-65	0.309287021324642	0	0	0.0826316135879214	1.30545958887317e-23	1.426437783544e-12	0.087258022173085	0	0	0	4.61369441985756e-06	0	1.18712489495156e-35	0	0	0	0	0.0883677196431588
NA	Aebp1	NM_009636	+	0	0	1.39968237024448e-85	0	0	0.044183859821588	7.98017805583988e-39	9.24203286543737e-156	8.99431747963899e-13	0.0884104164522907	0	7.80960542792123e-172	6.89749679468663e-29	0	0	5.43493674995326e-64	2.67862016495806e-16	1.91166352231916e-157	1.16822213257021e-14	0	0.132551579464738	3.25749440293694e-15	4.11752984373516e-55	0	0.17672240631313	3.27143946627252e-06	0.044228808714264	0.130665949897402	0	0	0	0	0.0441838598228906	1.4677441101337e-82	0	0	1.33807882311858e-26	3.87466784216154e-42	2.78866790148008e-33	0.0143605836047927	0	0.0442082925805024	0	6.32819700268749e-26	0	5.73169425850521e-22	0.176735422587812	0	5.28405077073063e-06	0	0	0.0441838598215611	8.03069182834537e-90	0	1.18793067307712e-06	3.9857371993224e-69	0	3.23298514272112e-112	8.68470904052603e-13	0	0	4.62236463485526e-15	0	0	9.27003413163231e-156	0	0.04418385982158	0.0875263240491534	1.76883658221107e-57	0.0441838598213241	0	0.132190089805635	0.0441481333607807	0	0.0441838598215785	6.11018208558006e-08	0	0	0	2.49719693819713e-152	0	0	0	1.44559581953281e-65	0.0883677196458332	0.0435492174286648	0.0441838598210368	0	6.43657603324501e-173	6.10695499311471e-30	0.0441899917643762	0	1.68570975382697e-73	1.24896275326609e-11	0	2.15706577203962e-17	0.0441838325834801	0.0870185765967644	1.19436931982979e-09	0	0
NA	Akap12	NM_031185	+	0	7.95957423610467e-91	3.14716265900128e-29	0.132551580335678	0	5.92671913990844e-06	0	1.44314873976767e-116	0.0779718292530808	0.177403021310562	0	0.0194824696451855	7.23626665371868e-117	2.94641605995389e-63	0	2.75510806893253e-74	0.0441850052533556	0.0883678041222406	0	0.0883677013900567	0	0	9.75887929207064e-146	0	0	0	6.88334318306858e-37	0	0.0441838598215789	1.37120104859944e-41	5.92912013155395e-21	2.32032501077504e-12	3.6562888006532e-286	0	5.69543595956563e-156	0	0	0	0.044183859821579	0	0	2.66005935197135e-39	0	0	6.48212682237004e-35	0	0.0441838621679272	0	0	1.29824907674602e-20	0	1.69621922423298e-33	0	0.0450439199864289	0	1.15304669086362e-50	0	0	6.64844239950411e-230	0	0	2.5656971233114e-34	0	0	0	0.22066307146307	0	0	0.00127387226316699	5.14667694402774e-16	0	0	0.0441838595393656	0.0441894192543789	0	0	0	0.088535471197153	0.044183859814894	1.15821687852025e-58	0	5.04739085755036e-73	1.10412614505498e-215	0	1.3222230086008e-08	0.0441838643401508	0	3.10389087994504e-48	0	0.0894774348515961	5.27495362288748e-78	0	0	0	0	0	0.0441838598217733	0	0	0.0416201751296966	0
NA	Aldh1a2	NM_009022	+	0	0	0	0.0883677196476483	0	2.76331353403971e-56	1.41364689048455e-43	0	0.0887087756223442	0.0883677196435787	1.98522879457207e-73	0.0441838303343566	2.4235506232769e-56	0.0901334003119201	3.89568127766535e-14	2.3487878602603e-07	0	2.99847019047443e-31	0.0441959038416821	0.0441838938823316	0	1.21091254657826e-19	4.94654585861261e-40	0	3.79029012209639e-17	0	1.15104077423695e-98	0	0	0	0	0.0441838598215793	0.04418396147555	0	4.30928900683172e-224	0	6.14152355230201e-38	0.132496405017036	0	3.1471628748284e-29	0	0	0	0	3.61548848483084e-23	2.15196809342897e-51	0	5.83173144456806e-46	7.58755566325287e-07	1.62712352816868e-13	0	1.19082272416396e-27	0.0441839093080202	0	0.427843162241099	0	1.08900091534452e-252	8.18999660059727e-131	0.0883677196430549	2.91897201570797e-54	0.0883677196431588	5.83624128166904e-195	0.132561152377583	1.04054143541121e-83	0	0.0883677194793783	0.0441839861452105	0	0	4.39648717091942e-10	0	0	0.309287018751245	0	0	1.57578848908698e-26	0	0	4.57674550006464e-44	0.264486801995535	0	0.0473115364497011	0.13255157953367	0	3.14580182503213e-254	3.42346270377537e-111	2.04201483863242e-08	6.62514285950805e-07	0.132551579472723	0.176735028588845	0.0441838682913549	0	0	6.01231824432639e-37	0	3.01717477498175e-67	0	0	0	0.0883599240792897	0
