gid	gname	tid	strand	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NA	2200002D01Rik	NM_028179	-	0	6.66175148313506e-132	0.111999390723314	0.335998172170117	0	0.447997562893258	0	0	0	0	0.111999390723314	0.448051677862286	0.223312679993756	0.223998781446629	4.8663638850356e-105	4.68820075671918e-248	2.56451988283758e-136	0.111999390702079	0.111999390723314	7.12280556195139e-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	9930111J21Rik1	NM_001114679	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.78562776049108e-113	0.111999390723314	0	0	0	0	0	4.60635237761192e-304	0.224002946437896	0	0	6.61485425377221e-57	0	0	0	0	0	0	0	0	0	0	0	0	0.111999390744754	7.51292722858771e-311	0	0	0	0	0	1.12249688928629e-118	0.111999390723314	0.111999390723314	1.40666235160903e-132	0	0	0	0	0	0	0	0	4.05214983352452e-191	0.111999390723314	0	2.91139470991967e-56	0	0	0	0	0	0	0	0	0	1.81597725833008e-194	0	0	0.223998781587322	0.111999390781558	0.111999390723322	9.05611654746819e-05	0	0	0.111999390723314	0.111999390723314	0	0	0.111999390723314	0	0	0.111999390723314	0.335997093543012	0.112337369594191	0	0	0.112000593268315	0.503997258254915
NA	Acvrl1	NM_001277259	+	0	0	0	0	0	0	0	0	0.111999390723314	0	0	2.1523328157176e-131	0.111999390723314	0.559996953616572	0.223998781446998	4.87088432244051e-103	0.223998781446629	0.111999390723314	0.223998784474174	1.0008977909278	1.11999390723314	0.671996344339887	0.671996344339887	0.436361242456299	0.785395171553224	0.560000158121104	0.227227877630853	0.223998781446629	2.77360877585868e-57	0	0.111999406134667	0	0	0	0	0	0	0.111999390723314	0	0	0	0	0	0	0	0	0	0	0	0	0	5.34484091718612e-23	1.50302708720783e-37	6.72086420082361e-198	0	0	0	0	0	0	0	0	0	0.111999390723312	7.56682005841608e-32	5.4533220592717e-192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88648125681053e-263	3.3363102156785e-120	0.111999390723314	0	0.223998345596654	0.335998172169943	0	6.6909773667157e-16	9.09271641443674e-127	0.111999390723314	0.335594252525575	0	0.223998781446629	0.111999390723314	1.2290749552281e-101	0	0.111999390723314	1.29131023373306e-96	0.111999390723314	0.111999390723314
NA	Adam12	NM_007400	-	0.111999390723314	6.29105212167327e-81	1.37617936145834e-223	0	0	0	0	0	0.111999390723314	1.59788552701763e-116	1.76543014446652e-259	0	0	0	0	3.98492204673815e-199	3.03153596696945e-56	0.111999390723315	0.111999390723314	5.74930902211023e-45	0.111999390723314	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35458245752392e-287	0	0	0	0	0	0	0	0	0	0	1.02368789203951e-38	0	0	0	0	0	1.37797627199935e-236	0	0	0	1.88761404326111e-227	1.4274583483961e-132	0	4.49373692541219e-193	0	0	0	1.92759595203924e-258	0	0	2.5939454788399e-75	7.53389708007016e-93	0	0	0	0	0	1.36037465823896e-148	8.04470765544392e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	Adamts12	NM_175501	+	0	4.99369692795376e-34	1.09238049801246e-176	0	0	0	0	0	0	0	0	0	0	0	5.49841017653144e-294	4.40568885913166e-151	3.35163500792941e-08	0	0	0	0.111999390723314	0	0	0	0	0	0	0	0.111999390723314	1.522337906876e-37	0	0	0	0	0	0	0	1.44390242866027e-259	0	1.42996796999933e-236	0	0	0	0	0	0	0	0	0	0.223998781446629	0	0	0	0	0	0	0	0	0	0.111999390723314	0	0	2.86382256437558e-30	7.34345107209745e-111	0	0	0	0	0	0	0	2.67524202647169e-27	0	0.111999390723314	0.111999390723314	0	0	0	0	0	0	3.61073182246581e-110	0.111999390723314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	Adcyap1r1	NM_007407	+	0	0	0.111999390723314	3.99590923342994e-86	1.15220036395276e-77	0.111999390723314	0.111999390723314	0	0.111999390723314	0.111999390723912	0.111999390723314	0.223998781446629	0	0	0.111999390723313	0.335998172169944	0.447997562893258	0.448039105274057	1.12048323154001e-12	0	0.111999390723314	0.22399878178456	0.223998782209987	1.26838455268082e-100	7.29447018671097e-32	0	0	1.68326705010979e-99	0.111999390723314	0	1.52955279037798e-129	0.223998801060399	0.111999390723314	0.111999390723316	0.335998172169943	1.89263757085319e-52	0	0	0	0	7.74733021644106e-23	0	2.68848128373345e-11	0	0	4.03552446284075e-209	0	0	0	5.11001968283247e-307	0	0	0	0	0	0	0	0	1.03266303698771e-70	1.30101727705095e-64	1.97847522613405e-220	9.00313102096145e-30	2.13761695836848e-18	0	3.08634839905856e-264	0	0.111999391934703	0	0	2.32973037504349e-224	0.111999390723314	0	0	0	2.81096756404074e-210	1.74823802925598e-42	0	2.23951384637985e-48	0	5.18678600345658e-120	0	0	0	0	0.111999390723314	0	0.111999404592896	0.112000230387712	0	0	0	5.60589768736336e-303	4.95116708351069e-160	4.2564730056902e-17	7.74863134808695e-40	0	0.335998172169943	0.111999390723314	0	0.223998781446629	0
NA	Adm	NM_009627	+	0.0559996953616572	0.223979020872536	0.223998781446629	4.96396939428378e-87	0.223998781446629	0.111991098119896	0.223998781446629	0.223998772790065	0.223998781446629	0.223998781446629	0.448055573738074	0.111999390731635	0.447997562893258	0.896858609088302	0.111999390723314	0.223998186064491	0.559996953616572	0.895991667876039	0.111885452084443	0.223998781446629	0.335998172169943	0.335998172169943	0.335998172169943	0.332998268212518	0.223998781446024	0.223998781446629	0.223998781446629	0.335998172169943	0.223998785576088	0.223998781446629	0.224289749042546	0.335998172169946	0.335998172169943	0.238869609861888	0.447986405095291	0.447997584362855	0.335998172169943	0.335998172172659	0.223998781446629	0.223998719798866	0.111999391161108	0.223998781446618	0.223998781446629	0.223998781446629	0.223998781446629	0.339843846253635	0.335998172169943	0.447996446887211	0.447997562893258	0.447997590273958	0.447997562893258	0.444171727724974	0.559996953616984	0.559996953616572	0.3360158309938	0.335998172169216	0.223998781446629	0.223998781446629	0.22399996480132	0.335190185333773	0.335998172169943	0.335998172170138	0.223998781446629	0.223998777014404	0.223998781447039	0.223998781446629	0.223418790604816	0.447830990661105	0.335998172169943	0.335978348580924	0.335998172169943	0.22701422937102	0.223998781452333	0	0	3.50761060882461e-47	1.89340456249102e-67	6.77820746322064e-88	1.84625138567949e-108	3.44379587394675e-129	0	4.86361285514244e-125	0.111999390723314	0	0	2.12656937230496e-162	2.20738422465716e-19	0.335998172169943	0	0	0	0.111999390723314	0.33598152690197	0.223998781446629	7.62007654198236e-48	0.336002197660454	0.335998172169943	6.87476432030279e-79	5.20718524690076e-222	0	0
NA	Aebp1	NM_009636	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111999390723314	1.0598900656386e-33	0.223998781446629	0.111999390723314	0.111999390723314	0	0.111999390723314	0.111999390604802	0.223998781417968	0.111999390723314	0.111999390754367	0.111999390723314	0	0.111999390723314	0.111999390723314	3.24134595856518e-24	0.111999306819147	0.223998781446629	0.11199937926942	3.86887846552969e-74	0	0	0	0	1.02492216615574e-78	0.111999390723314	0.111999390723314	0.112003850809426	4.62550068323959e-97	3.90982502542532e-196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49611426209924e-212	0	0	0.000183840211710897	0	0	1.0875152542008e-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	Akap12	NM_031185	+	0.0559996953616572	0.111999390723314	0.111999390723314	0	0.111999390723314	0.111999392213134	0	0	0	0	1.24649280868081e-268	1.12819690134185e-125	0.111999390723314	0.111999390723314	7.49365454326404e-56	0.111999390723314	0	0.335998172169943	0	0.335998172169943	0.223998781446629	0.223998781446629	2.24479235924623e-34	0	0	6.05259824129193e-101	8.81611731398388e-206	2.79025514375608e-67	1.06473214846601e-142	0	0	5.14412353692786e-287	0	3.54371924544253e-209	0.111999390723314	0	0.111999390723314	0	1.13171276097733e-236	0	4.10377431098481e-186	0.335998172169943	3.12561849904648e-302	2.17809658323102e-28	0	0	0	0.223956840498741	5.1309964460027e-111	0.111999390723314	0	0	9.06603752459465e-103	0	3.91473661078072e-209	0.111999390723314	0.111999390723314	4.81475784299575e-121	0	0	0.111999390723314	0	8.84328695890826e-151	1.15097770846264e-117	1.17316352672291e-137	0.111999390723314	0	0.223850453649065	5.29383309038998e-128	0	6.89116119934937e-79	0.111999390723314	1.9430604538257e-57	0	0	0	0	0	2.77200109799964e-248	0	0	0	0	0	0	0	0	0	0	0	0	3.08970943431419e-273	2.72885245181559e-130	0.111999390723314	0	0	0	0	0	0	0
NA	Aldh1a2	NM_009022	+	0.279998476808286	0.229711259319499	0.559999145555173	0.784037277444	1.12468841067268	0.895998862259772	1.34399268867977	1.00669901940825	0.560228774060847	0.559996954001864	1.90700925521205	1.63083188120183	2.57831471181012	1.2320098929455	1.56993948057348	1.34352846281969	2.58549138558958	1.56799366233194	0.673157301899272	1.11999390723314	0.447997562893258	2.35040580320539	0.895153286932894	0.448221163626805	1.4568739583859	1.12000947266175	0.896179541883662	1.11999390723319	0.447997631839024	0.671996344339887	0.447997562893258	0.448004936464362	0.562519662252575	0.335998172175069	0.447997562893258	0.111999412192909	0.447997567778078	0.670108264746284	0.895982407473367	0.224582943428467	0.111999390723314	0.335998172169943	0.11199945976777	1.91569169372375e-11	0.671996344339882	0.22401432540622	0.559996953616572	1.45599210160845	0.783275223759225	1.02216326812205	0.671996344339887	0.789918352367327	4.36605448616185e-39	0.111999390723314	0.111999390723314	0.5599969754992	0.111999390723314	0.338782786614392	0.111999390723314	0.223998781446931	0.335998172169943	2.95161170073717e-173	0.111999390723314	0.223996090819331	0.223998781446629	0.439759206369339	0.223998781446629	0.111999390723315	0.11199939072148	4.27398696224572e-159	0	0.223414625514208	0	0	0	0.223998781446629	0.559996953614764	0.111999390723314	0	0.447997346691337	0	6.25092055995969e-05	0.223998781446629	1.4543356968251e-97	1.5520001975648e-92	0.167894462044971	6.97227752571086e-23	8.41242323946385e-16	0	0.111999390723314	0	0.111999390838672	0.22399878144611	0.335998172169943	0.335998172139281	0.112204613297445	0.111999390723314	0.111999390757055	0.223968251680357	0.111999390723314	0.0559996953616572
